Reference,A_4CN,Ap_4CN,Fm_4CN,Fnm_4CN,Fsec_4CN,Gm_4CN,No_4CN,Oflm_4CN,Oflnm_4CN,Oflsec_4CN,S_4CN,Ac_4CN,Gnm_4CN,Gsec_4CN,Apd_4CN,Min_4CN,Per_4CN,Res_4CN,Se_4CN,Ref_4CN,Cs_4CN,Cana_4CN,Dnm_4CN,Dnnm_4CN
D2000_PRODES_2025,278531,5752004,212386,1440780,698085,32592,731,30832,270724,165533,236411,797306,55672,17899,0,44706,2895,5034,95,808875,28,14787,0,0
D2002_PRODES_2025,68240,1237394,94102,376574,163448,9540,18,12440,126771,65560,30167,362042,33850,11613,611,4662,1977,1248,233,348690,21,412,0,0
D2004_PRODES_2025,42866,1126487,34068,371554,143160,1382,61,8741,68274,44025,5211,596946,17689,6964,90,3629,4655,636,108,92081,0,186,0,0
D2006_PRODES_2025,38490,861958,57281,294095,82117,1530,46,10376,103711,24066,10668,208509,20634,3341,353,5805,776,3449,72,110780,0,155,0,0
D2007_PRODES_2025,2576826,445841767,19408186,78448177,65509248,39103,82571,624015,695463,374394,4350392,44461630,187004,69204,0,1148306,3346884,829184,18040,4656504,165952,1763879,767,209
D2008_PRODES_2025,51237,8731096,471383,3103673,880151,4782,2037,15457,84369,7573,22439,495314,15214,2439,0,28587,30429,35992,29,127057,7108,370,0,0
D2009_PRODES_2025,5511,4218495,265248,1047349,411130,417,1273,867,2933,663,4877,137085,2332,18,0,21913,15453,11155,1306,9372,776,0,0,0
D2010_PRODES_2025,39296,4280087,283884,1353018,484452,2393,1080,7508,55803,4798,9580,222362,26181,722,0,25766,28403,14085,4159,21530,1391,912,0,0
D2011_PRODES_2025,9862,3889435,113000,667348,683931,106,1041,829,1225,1246,4747,128092,559,212,0,21973,14439,66585,1018,4949,1610,203,0,0
D2012_PRODES_2025,3156,3049084,64321,461298,558990,26,330,295,471,1579,9067,98277,160,671,0,47052,8050,20215,1130,1413,1693,29,0,0
D2013_PRODES_2025,22681,4325940,107655,723711,702894,2075,1072,4093,109222,13475,11614,276404,31231,338,89,47266,11671,38766,1035,25847,1615,124,0,0
D2014_PRODES_2025,13206,4218980,96851,693265,309957,1981,584,2626,70022,9320,9749,214637,26951,694,392,52864,10542,47847,1663,10650,802,63,0,0
D2015_PRODES_2025,5743,4983446,77762,662064,140457,22,763,3409,1114,255,2334,115255,117,5,0,67466,7392,63366,68580,1167,2536,64,0,0
D2016_PRODES_2025,15955,6512631,156486,1113305,153869,3880,236,7686,79305,4351,6383,200807,18764,358,3657,84672,5637,59785,18225,11881,3969,265,0,0
D2017_PRODES_2025,7324,2092486,598240,3928112,301754,49,2274,3611,3210,139,1527,15158,431,179,0,36060,5466,1940,2776,885,98410,0,0,0
D2018_PRODES_2025,30227,840098,983842,5708318,383094,3560,1615,21890,213904,5123,3642,93245,49633,6309,466,10523,2216,2037,579,3975,82808,143,0,0
D2019_PRODES_2025,27076,791778,1579734,8662931,521234,2976,4040,16153,211881,9524,4308,17191,43147,523,51,12035,3109,2056,245,6616,89799,2,0,0
D2020_PRODES_2025,25793,685438,1595288,8370925,497685,7949,1756,21225,166353,20856,3519,17531,64378,1503,169,10762,3355,3069,67,5794,136367,0,0,0
D2021_PRODES_2025,19682,694462,1777349,10058093,540246,5472,5073,16386,235430,19427,2790,16250,43659,742,496,11782,4697,4049,11,3748,127968,23,0,0
D2022_PRODES_2025,21591,448313,1762359,10704832,504562,6291,1111,14781,271376,4453,1024,6709,71579,369,180,7859,1255,2122,0,5497,97997,25,0,0
D2023_PRODES_2025,18992,317329,795104,6822948,415098,7648,5834,11401,217096,3740,2142,7250,108196,765,698,4789,1680,2844,0,4129,82988,67,0,0
D2024_PRODES_2025,36491,256622,656212,5235528,365240,5376,4861,16212,211722,3832,838,3499,94034,234,72,4536,468,2298,3,1973,67542,0,0,0
D2025_PRODES_2025,3749,66496,845508,4037734,304187,2285,2799,4046,7683,146,59,672,3572,26,0,1202,1201,1104,0,537,99712,2,0,0
R2010_PRODES_2025,10915,166835,12391,81762,26261,0,84,244,236,55,346,4587,367,6,0,2105,1046,40,0,3073,402,0,0,0
R2011_PRODES_2025,272,107983,3934,17694,19502,0,0,80,63,114,63,1209,26,0,0,877,417,27,0,62,30,0,0,0
R2012_PRODES_2025,129,45496,2206,12931,7647,0,6,0,0,0,87,1983,59,0,0,303,76,171,0,185,0,0,0,0
R2013_PRODES_2025,146,56744,1834,15133,10614,0,1,0,129,3,0,1637,72,0,0,379,314,62,0,0,79,0,0,0
R2014_PRODES_2025,236,46487,1558,11286,7928,0,0,59,87,0,0,1494,0,0,0,421,329,47,0,11,0,0,0,0
R2015_PRODES_2025,8135,978454,67212,345587,136160,1,176,360,1006,265,4680,20108,364,70,0,13658,4006,2268,69,3564,850,96,0,0
R2016_PRODES_2025,525,183094,18526,59335,16044,19,51,98,570,58,652,7233,653,6,0,1256,514,219,0,127,136,0,0,0
R2017_PRODES_2025,2142,58809,4011,21550,4454,0,174,0,42,0,84,1097,38,0,0,406,202,22,0,12,0,0,0,0
R2018_PRODES_2025,147,34908,3564,27944,8041,0,0,13,0,0,8,1046,3,0,0,286,64,48,466,0,80,0,0,0
R2019_PRODES_2025,2007,93813,61520,321582,21760,0,10,597,148,46,403,251,12,0,0,1985,278,46,12,89,431,36,0,0
