Reference,A_4CN,Ap_4CN,Fm_4CN,Fnm_4CN,Fsec_4CN,Gm_4CN,No_4CN,Oflm_4CN,Oflnm_4CN,Oflsec_4CN,S_4CN,Ac_4CN,Gnm_4CN,Gsec_4CN,Apd_4CN,Min_4CN,Per_4CN,Res_4CN,Se_4CN,Ref_4CN,Cs_4CN,Cana_4CN,Dnm_4CN,Dnnm_4CN
Agricultura Anual_RESTORE_2016,6266,3065510,17879,1951624,313549,6620,8,4913,86905,5253,13190,41813464,41512,4544,3669,66621,9538,5392,9004,54456,2519,51332,16,10
Agricultura Perene_RESTORE_2016,356,460354,1749,76411,88793,0,94,0,0,0,967,6647,6,0,0,43,2360410,162,0,1636,35,0,0,0
Agricultura Semi-Perene_RESTORE_2016,37,45899,0,20384,23500,0,0,2,1902,11,311,100111,88,62,0,0,1460,50,0,407,5,1453283,0,0
Desmatamento Do Ano_RESTORE_2016,5101,5989911,136167,978462,130846,14,207,2872,1594,158,1402,45751,262,24,0,72874,7077,59025,17062,2165,4005,135,0,0
Floresta_RESTORE_2016,12517177,21880132,1975432902,1198075170,37548072,2247916,835634,7177010,4841209,79880,121824,787839,1252673,14875,0,351740,128970,949212,13584,142033,8146869,16048,314,1613
Mineração_RESTORE_2016,6664,310114,81346,83266,75998,0,0,1208,1272,512,14394,1336,75,247,0,711706,161,19104,1517,207,0,5,0,0
Natural Não Florestal_RESTORE_2016,13091102,4046142,89565820,69634642,2092067,16901703,28531,33131068,24610803,669010,55535,188248,11370558,100027,4348,21245,1504,38946,707,532845,25665,394,0,132
Não Observado_RESTORE_2016,192,17419,10336,5026,3654,0,5068,344,40,25,29,62,0,0,0,5,38,0,0,218,0,0,0,0
Pastagem_RESTORE_2016,1387968,450942055,6336966,33823916,27255589,66647,53335,335855,1237252,507403,922028,5750028,289729,61271,1654,563799,851197,354683,73867,1423059,40700,226763,606,72
Sazonalmente Inundada_RESTORE_2016,3446909,132073,411733,1306173,81272,5841,818,1982,50342,2562,1733,11,1731,600,0,2403,86,249282,155,33,0,0,0,0
Silvicultura_RESTORE_2016,417,541267,6195,107400,284582,0,73,11,18704,24317,1432,46221,2385,208,0,32,41322,219,150,4286967,504,673,0,0
Vegetação Secundária_RESTORE_2016,785527,37221528,14624883,53612515,42535058,27317,31710,390624,358222,184331,185866,644822,117844,48158,1,157186,216192,75049,3146,492108,139805,47439,53,18
Água_RESTORE_2016,86266243,2073288,6350333,10143678,1199416,85650,6387,62850,169679,24493,72010,20123,63548,10733,2,75591,2256,7220056,14531,3649,684,2345,348,1437
Área Urbanizada_RESTORE_2016,30006,890851,35624,121651,84833,378,951,640,11030,1656,3563935,25340,1722,94,0,8034,6397,880,0,4226,0,68,0,0
