Reference,A_4CN,Ap_4CN,Fm_4CN,Fnm_4CN,Fsec_4CN,Gm_4CN,No_4CN,Oflm_4CN,Oflnm_4CN,Oflsec_4CN,S_4CN,Ac_4CN,Gnm_4CN,Gsec_4CN,Apd_4CN,Min_4CN,Per_4CN,Res_4CN,Se_4CN,Ref_4CN,Cs_4CN,Cana_4CN,Dnm_4CN,Dnnm_4CN
Corpo Dagua_TERRACLASS_2016,89505617,2184341,6697005,11215381,1154869,110749,7230,71326,284598,26810,72855,21329,79797,10816,39,57304,2243,7397856,74043,3162,580,1834,387,1424
Cultura Agricola Perene_TERRACLASS_2016,349,711132,1342,95678,107199,0,183,0,0,0,1290,65118,0,0,0,62,2578058,187,0,10340,33,0,0,0
Cultura Agricola Semiperene_TERRACLASS_2016,133,67105,0,20877,26257,0,0,0,190,1,404,104222,0,53,0,0,1460,10,0,200,19,1503050,0,0
Cultura Agricola Temporaria De 1 Ciclo_TERRACLASS_2016,1215,1824224,2712,853784,125542,733,0,435,13094,2130,3747,13429968,12808,3731,0,585,154,941,0,46016,646,47763,0,0
Cultura Agricola Temporaria De Mais De 1 Ciclo_TERRACLASS_2016,356,1097603,1013,1019922,163307,0,0,140,2563,687,4953,28189646,243,13,0,997,161,792,0,4994,1350,3616,0,0
Desflorestamento No Ano_TERRACLASS_2016,16023,6513784,157593,1111826,153743,3895,238,7767,78933,4358,6384,200608,18743,349,3664,83427,5562,60346,18250,11935,3991,258,0,0
Mineracao_TERRACLASS_2016,5164,237734,37391,48790,40681,0,0,2417,1321,753,21696,2672,282,236,0,816802,99,18671,4342,312,0,0,0,0
Nao Floresta_TERRACLASS_2016,12932690,3985363,89532166,69366799,2083904,16880347,28531,33106678,24384570,674788,55737,113195,11319133,94438,3999,20752,1424,35712,787,559653,25886,345,0,125
Nao Observado_TERRACLASS_2016,139235,31923,817764,576821,25444,1,6874,63343,18770,4,1354,355,192,0,0,0,0,24,0,0,0,0,0,0
Outros Usos_TERRACLASS_2016,17476,48552,82401,93127,40463,175,242,17547,529,1827,723,98,10,0,0,179,3,53250,374,3,0,0,0,0
Pastagem Arbustiva/Arborea_TERRACLASS_2016,711621,65950757,3246434,14277002,13345265,12284,14697,88204,205503,119982,99583,274355,57343,13829,0,77368,264032,138135,2836,528669,21419,18484,114,52
Pastagem Herbacea_TERRACLASS_2016,608453,364761297,1828007,13544231,9055007,50928,34269,155577,872639,331919,623749,5270576,211827,43590,1500,312676,328410,194741,13619,540079,12106,136990,456,34
Silvicultura_TERRACLASS_2016,567,462447,5506,151192,335633,0,83,14,20597,26538,1172,59708,2144,251,0,475,54530,548,121,4503128,520,2361,0,0
Urbanizada_TERRACLASS_2016,32232,854046,33350,109718,76019,283,971,995,10240,1092,3556591,19054,1721,52,0,8656,7609,652,0,4204,0,64,0,0
Vegetacao Natural Florestal Primaria_TERRACLASS_2016,12510019,22198823,1974168308,1198372581,37677868,2252028,826537,7154350,5038798,84814,125058,961786,1301634,21145,470,352865,129212,947559,13417,146290,8145797,16459,303,1626
Vegetacao Natural Florestal Secundaria_TERRACLASS_2016,1130325,56708459,15788772,59335214,47322896,30668,40688,454212,451996,223750,378655,716507,130742,52195,2,299129,253646,122629,5934,585025,148444,67253,79,31
