Reference,A_4CN,Ap_4CN,Dnm_4CN,Dnnm_4CN,Fm_4CN,Fnm_4CN,Fsec_4CN,Min_4CN,No_4CN,Oflm_4CN,Oflnm_4CN,Oflsec_4CN,Ref_4CN,Res_4CN,S_4CN,Ac_4CN,Apd_4CN,Arnm_4CN,Per_4CN,Cana_4CN,Gnm_4CN,Gsec_4CN,Gm_4CN,Se_4CN
D2000_prodes-2025,239025,373160912,109,0,2501555,60948717,15985068,383961,1853,654206,7157146,1756775,31702886,1179891,9008506,162524486,3599601,0,7316495,38485283,3843220,1396342,297669,11653
D2002_prodes-2025,25558,31370465,0,79,322531,7654239,2573094,17045,99,87542,1062586,444221,1521034,123384,139521,9031008,291786,0,152809,701399,530113,307468,25274,3026
D2004_prodes-2025,25851,29060449,6,0,502295,10241081,1829211,15668,0,176258,1780858,288829,1592478,99207,128671,12297018,308635,0,69662,569319,456829,208078,31693,3204
D2006_prodes-2025,15150,16840691,0,0,416015,7494302,1080233,12414,0,144786,1240361,185621,1362485,60599,92337,4808482,143344,0,55415,272717,324248,65504,49494,1454
D2008_prodes-2025,11388,11850995,26,0,354622,6444766,956024,12541,5,118786,921776,131266,1297519,56107,65715,4775012,99220,0,39280,123819,223081,45144,17706,900
D2010_prodes-2025,9165,9049026,300,0,304788,3855075,1012080,10698,0,98391,615775,103804,1286349,43554,61870,3196904,59241,0,35341,83409,251324,33588,49552,5112
D2012_prodes-2025,6289,9340192,0,0,144490,2378106,1034971,19107,0,29677,435229,150323,1225857,14056,65983,4202711,67919,0,28479,89139,89713,31290,8515,543
D2013_prodes-2025,4281,6897387,0,0,111709,1821278,687753,11103,0,39325,371118,92900,581686,9336,42053,2149709,71697,0,12758,44877,126231,40445,11727,449
D2014_prodes-2025,5042,6002141,14,49,73346,1667079,646082,12440,0,25212,269824,102366,396774,9781,44655,1564694,93012,0,12817,33593,115944,35713,9756,1874
D2015_prodes-2025,5655,7580570,0,0,79012,1818626,590743,13362,0,74254,336231,81875,224126,5314,22384,976393,44822,0,14705,20622,74822,20806,12015,1483
D2016_prodes-2025,2425,5111732,0,0,54619,1053094,129933,3445,0,27891,202722,29227,38862,1925,8243,328296,10658,0,1756,11987,24920,4081,5884,366
D2017_prodes-2025,1695,1713770,0,0,276677,4107007,298650,2882,0,77451,827687,48525,21102,2847,5523,119307,7232,0,2906,15366,106895,11821,12738,619
D2018_prodes-2025,1686,964315,0,0,245155,4101403,275200,2091,0,121607,1003323,48291,21370,4000,7000,54245,5231,0,2186,3485,134472,8832,16843,3040
D2019_prodes-2025,1354,752988,0,0,340157,4101459,229175,1568,0,118756,947252,68998,10189,3148,3774,35187,7423,0,1271,2404,123636,17441,17973,1911
D2020_prodes-2025,1096,743681,63,0,405215,4704274,244370,956,0,114817,998298,65496,13007,2780,4200,40259,17169,0,1258,2012,168781,17938,24899,2565
D2021_prodes-2025,1967,771387,0,0,356460,5239871,295688,773,0,156118,1419475,67601,15282,2254,2664,39219,11348,0,1451,1822,183508,16006,28840,2696
D2022_prodes-2025,1334,811908,17,13,579573,6845585,314242,680,0,122982,1690701,75802,16449,13209,3735,50381,16568,0,2014,2306,234005,18754,31196,2124
D2023_prodes-2025,1427,639821,0,0,355247,7130241,376343,714,0,103944,1951791,136665,15825,1937,2537,39204,15078,0,1197,2123,186875,20579,37005,3449
D2024_prodes-2025,962,480660,22,0,225355,5153251,219800,292,0,98085,1441857,68753,11922,581,2439,23488,13362,0,1532,1640,164651,9641,10225,2341
D2025_prodes-2025,1234,356165,53,0,265298,4866615,162697,481,0,68995,1124541,34727,14496,999,2265,14175,9371,0,592,770,125705,17643,5199,3158
R2018_prodes-2025,545,350393,0,0,245742,420311,36376,1479,0,7643,57882,3208,8864,1660,5044,20742,1536,0,1497,2929,11966,1402,1096,1918
R2020_prodes-2025,204,45492,0,0,5377,93203,4935,52,0,2063,27635,1459,653,231,419,1683,2117,0,232,112,7164,658,553,51
R2021_prodes-2025,280,78243,0,0,16836,270775,20052,172,0,7218,66370,2650,1438,575,456,3123,1478,0,254,281,12805,1284,783,190
R2022_prodes-2025,299,80778,0,0,8855,210847,16033,134,0,6562,76566,2664,1082,198,737,1640,3602,0,257,516,16855,1383,1665,317
R2023_prodes-2025,72,39146,0,0,9801,164416,11566,65,0,5656,61430,2218,673,174,378,924,414,0,59,243,10996,1882,3231,820
R2024_prodes-2025,31,30912,0,0,6778,147569,9681,39,0,5144,57799,1344,1061,67,152,1101,457,0,75,46,7143,337,102,232
R2025_prodes-2025,120,31432,0,0,3996,90374,5814,22,0,920,36634,1178,877,25,313,898,138,0,93,64,5339,294,573,170
Hidrografia_prodes-2025,2431324,883950,18127,43794,720231,3284395,106433,10932,10,237412,717532,19404,20257,7888109,32880,89514,2839,3,9225,30719,274866,10029,19448,411
Vegetação Nativa_prodes-2025,1126187,66849561,1103155,83923,102447650,487021154,17525838,97679,277,61892505,122091443,3204173,3258357,758175,569860,5665381,2044069,0,469478,1277450,33727349,2391423,10050872,1410299
